@relation grafo
@attribute degree_H numeric
@attribute degree_L numeric
@attribute short_path numeric
@attribute clustering_H numeric
@attribute clustering_L numeric
@attribute betweenness_centrality_H numeric
@attribute betweenness_centrality_L numeric
@attribute closeness_centrality_H numeric
@attribute closeness_centrality_L numeric
@attribute eccentricity_H numeric
@attribute eccentricity_L numeric
@attribute eigenCentrality_H numeric
@attribute eigenCentrality_L numeric
@attribute common_neighbors numeric
@attribute has_edge {True,False}


@data
8,4,7,1.0,0.6785714285714286,8.618976466858481e-06,0.0,0.12133419409067117,0.09809794093137542,15,14,2.817918386947344e-18,1.4087826865716748e-18,0,False
2,1,52146,1.0,0.0,0.0,0.0,0.09830763306647858,1.9177294083804776e-05,15,1,9.245527020336682e-19,7.103661512222846e-20,0,False
3,2,52146,1.0,0.3333333333333333,1.4711026452749905e-09,0.0,0.11221647383279344,5.753188225141433e-05,14,1,3.134547424823207e-19,1.3134199843669256e-19,0,False
4,3,7,1.0,0.8333333333333334,8.927648219642908e-07,0.0,0.12896603736913792,0.10101302575727877,16,13,9.005726265344931e-18,-3.8001993326942635e-19,0,False
15,3,6,0.3333333333333333,0.23809523809523808,0.00017486897735292576,1.2529143390046044e-05,0.11993092323544266,0.11560309301919307,14,14,-3.441055821872291e-19,-1.303841651227647e-17,0,False
10,3,9,1.0,0.5777777777777777,4.575557366440906e-05,0.0,0.11112059999346793,0.08476240880059788,16,14,-3.057045462125682e-19,-1.4351460996228938e-18,0,False
15,1,4,0.38095238095238093,0.0,0.0004911515495036298,0.0,0.135019919635399,0.10846183199590227,14,13,1.3142674033194192e-17,1.0748584239903993e-18,0,False
10,2,5,1.0,0.3333333333333333,2.5946217601773025e-05,0.0,0.11421823629212519,0.09574306683291191,15,14,5.307319142727074e-19,9.931901943246139e-20,0,False
10,3,9,1.0,0.3333333333333333,6.145576429537421e-05,0.0,0.10597115130995434,0.09152554056978039,15,15,8.94282101854746e-19,9.388527207748372e-20,0,False
4,3,10,1.0,1.0,0.0,0.0,0.10009112441852655,0.08783210328495827,16,16,1.636627436346502e-19,-4.259587954116185e-19,0,False
3,3,52146,1.0,1.0,0.0,0.0,0.10075917253950567,5.9929044011889926e-05,15,3,3.181212210263813e-19,2.2920393916312455e-20,0,False
8,1,52146,0.9642857142857143,0.0,1.0507876037678503e-10,0.0,0.10616579390032076,0.00015533608207881868,14,2,2.7219555654192163e-19,2.882366014965286e-20,0,False
4,3,7,1.0,0.6666666666666666,1.0374828622463779e-05,0.0,0.11742758255463771,0.08932089489308592,17,14,3.0203615003927954e-18,-3.8422994213959285e-21,0,False
2,1,9,1.0,0.0,0.0,0.0,0.10799738308319118,0.08179631374434855,17,15,-3.9005694645435236e-19,-5.921675883709092e-19,0,False
3,1,52146,0.3333333333333333,0.0,1.4711026452749905e-09,0.0,5.753188225141433e-05,1.9177294083804776e-05,1,1,-2.374556215665716e-19,-7.6899328713452455e-19,0,False
13,2,5,1.0,0.2948717948717949,0.00029781828336544253,0.0,0.13055283737895293,0.12242970035750045,14,13,1.2098091151038979e-17,3.550167628118805e-18,0,False
10,5,52146,0.9555555555555556,0.7,1.409083937564074e-06,1.6345584947499893e-10,0.1095698588839068,0.00019177294083804776,14,1,1.855367637062248e-18,5.765306152514966e-19,0,False
3,1,7,1.0,0.0,0.0,0.0,0.11508364327387427,0.11205859891769786,15,14,2.7697531552155775e-19,-1.7308329541096565e-19,0,False
3,1,10,1.0,0.0,0.0,0.0,0.0942328797561955,0.078236608890411,17,16,2.6292360820442456e-19,2.1100863459701065e-19,0,False
2,2,9,1.0,1.0,0.0,0.0,0.09945650809002932,0.09220928775676311,16,15,1.0106738319659274e-18,-3.963835422403487e-19,0,False
6,1,7,0.4666666666666667,0.0,8.494426261126714e-05,0.0,0.1121084952026111,0.10683080940903833,15,14,1.0743203897304392e-18,6.64565020660893e-19,0,False
6,4,52146,1.0,0.3333333333333333,0.00019398563173011002,0.0,0.10636572232401137,0.0001194892939067836,15,3,1.0102174074549687e-18,9.127004374424267e-19,0,False
1,1,8,0.0,0.0,0.0,0.0,0.10952381128449087,0.0956502850761688,16,15,2.976618397921888e-19,-3.321915902121089e-19,0,False
10,1,6,0.3333333333333333,0.0,0.00015226825381469075,0.0,0.12495540959721724,0.10256448104952415,15,14,4.3463831190367356e-18,5.51996267059723e-19,0,False
32,2,5,1.0,0.17943548387096775,0.0006001568317136783,0.0,0.14532635518873357,0.09604484547831793,16,13,1.3141566226045584e-16,7.66124034785808e-19,0,False
3,1,8,0.3333333333333333,0.0,2.8336510485084717e-06,0.0,0.10835739799349905,0.09333821790271962,15,15,1.7697383189887515e-19,-1.0814604943768993e-19,0,False
2,1,52146,1.0,0.0,0.0,0.0,0.1197510957361235,1.9177294083804776e-05,14,1,3.507375596407793e-18,-6.35130329357877e-19,0,False
3,1,52146,0.6666666666666666,0.0,1.4711026452749905e-09,0.0,8.629782337712149e-05,2.8765941125707164e-05,3,3,1.4888804104226998e-19,-1.6536728655896457e-19,0,False
5,2,8,1.0,0.9,1.8388783065937382e-10,0.0,0.10753027820903889,0.09910483720279392,15,15,1.1186496818492091e-18,1.6840356805470506e-19,0,False
4,2,52146,1.0,0.6666666666666666,3.2688530755375198e-06,0.0,0.11507829405022896,3.835458816760955e-05,14,1,4.066209495374995e-19,-1.4635695326614394e-19,0,False
1,1,6,0.0,0.0,0.0,0.0,0.10393076364882657,0.09719199194142096,16,15,7.718590213016245e-19,-8.043110309977147e-19,0,False
6,2,52146,1.0,1.0,0.0,0.0,0.09365392744856557,0.0001450282865087736,16,2,9.591024756672253e-19,1.8712582140304425e-19,0,False
39,25,3,0.12955465587044535,0.10666666666666667,0.0016376175143782727,0.001376120818555458,0.1485103703388314,0.13631655592051958,13,12,1.8160484005323835e-16,8.411853600761664e-18,0,False
6,5,7,0.8666666666666667,0.4,8.68472802151317e-05,3.6777566131874763e-10,0.11172316730715609,0.11105248084930759,14,14,3.0851662297068054e-18,-4.825452152044191e-19,0,False
3,2,7,1.0,0.3333333333333333,2.8950564507689175e-05,0.0,0.10856012020555253,0.10474347274611505,15,14,1.1553547986268268e-19,-3.419191276493417e-19,0,False
3,1,52146,1.0,0.0,0.0,0.0,0.09879538072637101,1.9177294083804776e-05,15,1,7.891067741580368e-19,-3.0257654594183884e-19,0,False
3,1,10,0.6666666666666666,0.0,1.4474546702521951e-05,0.0,0.11211103348900597,0.0755495861294646,18,14,6.251820675088304e-19,-5.752896926333831e-19,0,False
5,1,52146,1.0,0.0,0.0,0.0,0.00022162438917604574,9.588647041902388e-05,4,1,1.4155266063006062e-20,-1.359243287286785e-19,0,False
12,3,52146,0.8939393939393939,0.6666666666666666,5.106578882949511e-06,7.355513226374953e-10,0.11034961704646386,6.136734106817529e-05,14,2,5.677148243901207e-19,-3.3971259846537973e-19,0,False
1,1,52146,0.0,0.0,0.0,0.0,2.5569725445073034e-05,1.9177294083804776e-05,2,1,4.885756900479906e-19,-4.424306232111731e-19,0,False
11,1,7,0.8181818181818182,0.0,2.0135872591551876e-06,0.0,0.12446646821334903,0.10732168746172194,15,14,1.3433074946954869e-18,3.1631291288264335e-20,0,False
5,5,9,0.9,0.4,5.789965791273308e-05,1.8388783065937382e-10,0.11272484755464074,0.09087825991506578,16,14,-5.6203983452817425e-19,-7.027220716171515e-19,0,False
6,4,6,0.8333333333333334,0.26666666666666666,7.45127630748099e-05,3.865672279994345e-09,0.11332682874382936,0.11045874979236618,14,14,5.670479371932531e-19,-2.1255644790655586e-19,0,False
4,2,7,1.0,1.0,0.0,0.0,0.10443162335504558,0.09659506678713903,15,14,-3.314373656534227e-19,-1.0260563669470852e-18,0,False
10,8,52146,0.2857142857142857,0.26666666666666666,9.10143156109473e-05,4.008754708374349e-08,0.10970904453646756,0.00017319493719436188,15,3,2.4064671978095373e-18,-3.182742030034032e-19,0,False
11,2,10,1.0,0.0,2.8950564507689175e-05,0.0,0.1100712010783236,0.0780891664695014,17,14,-6.914730101575461e-19,-1.2089190571822445e-18,0,False
10,1,9,0.6666666666666666,0.0,2.7366990448596875e-06,0.0,0.1337669882784942,0.08033086676883731,17,13,6.735329133823845e-17,3.7671765646127233e-19,0,False
18,6,52146,1.0,0.1830065359477124,0.0003336543102168706,0.0,0.1258867391374413,0.00011506376450282866,13,1,1.1245423664480761e-17,1.6992322787942622e-18,0,False
5,1,52146,0.9,0.0,1.4711026452749905e-09,0.0,0.11410681114217071,0.00010621270569491877,15,4,-1.1938593687368924e-19,-1.5875021093296037e-19,0,False
3,2,52146,1.0,1.0,0.0,0.0,0.11712158987898827,5.113945089014607e-05,14,2,4.96869827981396e-19,4.539049978035508e-19,0,False
3,1,52146,1.0,0.0,0.0,0.0,0.11537951454068451,1.9177294083804776e-05,15,1,1.113913162593983e-18,4.631002177778545e-19,0,False
